book_id,title,author,category,quantity
1,Versatile transitional help-desk,Casey Hahn,Historical Fiction,5
2,Phased tertiary intranet,David Hernandez,Technology,13
3,Ameliorated client-server workforce,Rachel Weeks,Religion,11
4,Future-proofed neutral definition,Nicole Hickman,Non-Fiction,5
5,Open-architected full-range installation,Sara Myers,Science Fiction,20
6,Open-architected scalable alliance,Becky Henson,Biography,15
7,De-engineered motivating website,Suzanne Lawrence,Technology,19
8,Synergistic holistic approach,Robyn Giles,Art,1
9,Open-architected optimizing architecture,David Lynn,Technology,17
10,Decentralized heuristic focus group,Daniel Castillo,Comics,19
11,Total upward-trending projection,Chase Parks,Politics,5
12,Organic logistical time-frame,Brandy Walker,Technology,17
13,Mandatory interactive matrix,Benjamin Summers,Math,6
14,Assimilated tangible leverage,Lori Leonard,Biography,6
15,Advanced leadingedge access,Elizabeth Gallegos,Drama,15
16,Integrated next generation complexity,Todd Ruiz,Self-Help,7
17,Stand-alone 24hour intranet,Anthony Morrison,Self-Help,11
18,Networked 4thgeneration array,Michael Stanton,Drama,8
19,Face-to-face secondary ability,John Ferguson,Cooking,16
20,Automated methodical open system,Eric Munoz,Fantasy,6
21,Secured radical Graphical User Interface,Matthew Perry,Drama,1
22,Customer-focused clear-thinking database,Dawn Gay,Non-Fiction,3
23,Quality-focused 24hour help-desk,Kimberly Kennedy,Travel,6
24,Cloned user-facing database,Nicole Brown,Cooking,13
25,Cross-platform bottom-line archive,Amanda Bowen,Politics,13
26,Grass-roots tangible analyzer,Jessica Green,History,20
27,Advanced asynchronous complexity,Emily Price,Science Fiction,8
28,Total optimizing hub,Mario Boone,Mystery,7
29,Multi-layered multi-state projection,Tanner Santana,Mystery,10
30,Persevering non-volatile moderator,Pamela Cruz,Historical Fiction,1
31,Digitized executive superstructure,Sarah Johnson,Thriller,17
32,Ameliorated 6thgeneration hierarchy,Kristin Peterson,Philosophy,4
33,Horizontal human-resource framework,Randall Weaver,Non-Fiction,14
34,Assimilated next generation website,Desiree Jones,Science,17
35,Secured next generation service-desk,Brent Howe,Mystery,14
36,Synergized leadingedge adapter,Gregory Williams,Horror,12
37,Horizontal disintermediate database,David Miller,Drama,10
38,Managed discrete open system,Marcus Everett,Art,19
39,Open-architected intangible instruction set,Carol Warren,Young Adult,17
40,Configurable user-facing forecast,Tammy Martinez,Fantasy,12
41,Compatible global adapter,Kenneth Francis,Graphic Novels,8
42,Multi-tiered 24/7 extranet,Angela Anderson,Politics,8
43,Cloned even-keeled paradigm,Brandi Lutz,Comics,9
44,Quality-focused 4thgeneration website,Lisa Blackwell,Biography,12
45,Persevering static extranet,Angela Jackson,Horror,13
46,Re-contextualized interactive benchmark,Kristin Hall,Thriller,9
47,Enhanced impactful service-desk,Eric West,Comics,7
48,Right-sized mobile solution,Eric Morrison,Fantasy,15
49,Customer-focused modular extranet,Amy Lopez,History,10
50,Switchable dynamic solution,Kara Perez,Poetry,5
51,Persevering high-level projection,Anne Gould,Non-Fiction,20
52,Implemented regional monitoring,Luis Berg,Art,12
53,Grass-roots encompassing approach,Jared Williams,Non-Fiction,2
54,Automated mobile hierarchy,Kathleen Rogers,Science Fiction,1
55,Quality-focused scalable conglomeration,Melissa Martinez,Politics,17
56,Synchronized real-time approach,Joanna Carney,Young Adult,13
57,Cloned hybrid alliance,Jon Kim,Religion,8
58,Virtual intermediate function,Felicia Ross,Thriller,18
59,Total methodical neural-net,Terry Mcclure,Philosophy,20
60,Up-sized executive projection,Jessica Shannon,Drama,11
61,Sharable zero-defect policy,Harold Peterson,Fantasy,13
62,Face-to-face zero tolerance website,Kristopher Davis,Religion,6
63,Enterprise-wide hybrid budgetary management,Nicole Vargas,Biography,9
64,Down-sized zero administration Internet solution,Christopher Contreras,Biography,12
65,Optional interactive portal,Carla Calhoun,Comics,19
66,Seamless fault-tolerant neural-net,James Mitchell,Economics,2
67,Proactive value-added challenge,Anthony Murphy,Technology,9
68,Assimilated 5thgeneration info-mediaries,Nancy Harmon,Travel,20
69,Profound encompassing workforce,Brad Vega,Art,8
70,Team-oriented bi-directional paradigm,Victoria Wade,Poetry,17
71,Up-sized empowering infrastructure,Eric Evans,Romance,12
72,Self-enabling static success,Denise James,Poetry,5
73,Compatible asynchronous encoding,David Peterson,Math,2
74,Universal next generation utilization,Suzanne Roberts,Art,4
75,Devolved heuristic migration,Brian Horton,Non-Fiction,2
76,Universal bifurcated policy,Ashley Armstrong,Science,2
77,Optional 24hour throughput,Lisa Fischer,Drama,5
78,Decentralized even-keeled support,Elizabeth Jones,Religion,5
79,Switchable composite product,Todd Gardner,Science,20
80,Cross-platform tangible conglomeration,James Santiago,Poetry,13
81,Optimized disintermediate workforce,Jasmine Cervantes DDS,Graphic Novels,17
82,Self-enabling coherent software,Caleb Brooks,Biography,3
83,Monitored solution-oriented data-warehouse,Jason Smith,Art,7
84,Operative scalable project,William Miller,Biography,3
85,Customer-focused intangible alliance,Debra Rice,Mystery,6
86,Inverse directional productivity,Austin Hogan,Drama,20
87,Digitized cohesive moderator,Sarah Castro,Science Fiction,2
88,Virtual grid-enabled challenge,Melissa Marks,Philosophy,13
89,Cross-group content-based portal,Kelli Smith,Mystery,19
90,Customizable systematic software,Matthew Owens,Art,16
91,Enterprise-wide system-worthy structure,Amanda Morgan,Historical Fiction,15
92,Object-based optimal parallelism,Eric Cole,Fiction,1
93,Switchable mobile secured line,Gina Rosales,Historical Fiction,14
94,Customizable actuating synergy,Megan Walsh,Thriller,3
95,Inverse actuating open architecture,Cheryl Branch,Young Adult,12
96,User-centric optimizing customer loyalty,Alejandro Hanson,Science,14
97,Business-focused non-volatile model,Ashley Wells,Economics,12
98,Quality-focused regional flexibility,Steven Sweeney,Children's,3
99,Cloned eco-centric secured line,Cindy Hart,Historical Fiction,6
100,Cloned solution-oriented paradigm,Thomas Franklin,Historical Fiction,8
